,support
'bread and cake',0.7196281884997838
fruit,0.6400778210116731
vegetables,0.6398616515348032
milk-cream,0.6353220925205361
'baking needs',0.6039775183744055
'frozen foods',0.587116299178556
biscuits,0.562905317769131
juice-sat-cord-ms,0.53220925205361
"'bread and cake',milk-cream",0.5051880674448768
'party snack foods',0.5034587116299178
"'bread and cake',fruit",0.5023778642455685
"'bread and cake',vegetables",0.49654128837008216
margarine,0.4943795936013835
'tissues-paper prd',0.485516645049719
"vegetables,fruit",0.47686986597492437
sauces-gravy-pkle,0.475789018590575
"'baking needs','bread and cake'",0.47341115434500647
"'bread and cake','frozen foods'",0.46000864677907477
"'bread and cake',biscuits",0.45006485084306097
"fruit,milk-cream",0.44055339386078685
"vegetables,milk-cream",0.4377431906614786
"'baking needs',vegetables",0.4210981409424989
"'baking needs',milk-cream",0.4122351923908344
"'baking needs',fruit",0.41050583657587547
'soft drinks',0.40812797233030695
"vegetables,'frozen foods'",0.4066147859922179
cheese,0.40618244703847817
"'bread and cake',juice-sat-cord-ms",0.40380458279290965
'pet foods',0.4035884133160398
'breakfast food',0.4022913964548206
"fruit,'frozen foods'",0.40207522697795073
"biscuits,fruit",0.3968871595330739
"'baking needs','frozen foods'",0.3964548205793342
"'bread and cake',margarine",0.3955901426718547
"'frozen foods',milk-cream",0.39472546476437526
"biscuits,'frozen foods'",0.39105058365758755
"'bread and cake','party snack foods'",0.3906182447038478
"'bread and cake',vegetables,fruit",0.3869433635970601
"'bread and cake','tissues-paper prd'",0.38370082144401213
"biscuits,milk-cream",0.38197146562905315
"vegetables,biscuits",0.3811067877215737
"'baking needs',biscuits",0.3811067877215737
beef,0.3759187202766969
"sauces-gravy-pkle,'bread and cake'",0.36964980544747084
confectionary,0.3651102464332036
"'bread and cake',fruit,milk-cream",0.3640293990488543
"fruit,juice-sat-cord-ms",0.36121919584954604
'dairy foods',0.36057068741893644
"'bread and cake',vegetables,milk-cream",0.3584089926502378
"vegetables,juice-sat-cord-ms",0.3581928231733679
"'baking needs',margarine",0.3553826199740597
"juice-sat-cord-ms,milk-cream",0.3538694336359706
"'frozen foods',juice-sat-cord-ms",0.3497622135754431
"'baking needs',juice-sat-cord-ms",0.3497622135754431
"fruit,'party snack foods'",0.34392563769995677
"biscuits,'party snack foods'",0.34392563769995677
"vegetables,margarine",0.34284479031560744
"'baking needs','bread and cake',vegetables",0.3426286208387376
"'frozen foods','party snack foods'",0.3417639429312581
"'baking needs','bread and cake',milk-cream",0.34154777345438825
'canned vegetables',0.3406830955469088
"'baking needs','tissues-paper prd'",0.3398184176394293
"vegetables,fruit,milk-cream",0.33960224816255946
"'tissues-paper prd',fruit",0.33852140077821014
'laundry needs',0.33787289234760054
"'baking needs','bread and cake',fruit",0.33787289234760054
"sauces-gravy-pkle,vegetables",0.3367920449632512
"vegetables,'tissues-paper prd'",0.3367920449632512
"vegetables,'party snack foods'",0.3367920449632512
"margarine,milk-cream",0.33484651967142237
"'bread and cake',fruit,'frozen foods'",0.33441418071768264
"'bread and cake',vegetables,'frozen foods'",0.33441418071768264
"'party snack foods',milk-cream",0.33311716385646345
"biscuits,juice-sat-cord-ms",0.33311716385646345
"'bread and cake',biscuits,fruit",0.3329009943795936
"margarine,fruit",0.332252485948984
"margarine,'frozen foods'",0.33073929961089493
"'baking needs','party snack foods'",0.33052313013402507
"'baking needs',sauces-gravy-pkle",0.32879377431906615
"'bread and cake','frozen foods',milk-cream",0.3277129269347168
"'tissues-paper prd',milk-cream",0.3272805879809771
