类别,文本,分词结果,label
2,许光汉回应加盟《中餐厅》：可以期待一下,许光汉 回应 加盟 中餐厅 期待,0
2,小S说自己有容貌焦虑：在餐厅吃饭会不停照镜子,容貌 焦虑 餐厅 吃饭 不停 照镜子,0
2,龟梨和也出演三池崇史新片《怪物樵夫》,出演 三池 崇史 新片 怪物 樵夫,0
2,福建省泉州市丰泽区影视文旅产业推介会举办,福建省 泉州市 丰泽区 影视 文旅 产业 推介会 举办,0
2,S2O电音节端午假期将在三亚首秀 出演阵容公布,音节 端午 假期 三亚 首秀 出演 阵容 公布,0
2,新浪观影团《疯狂元素城》亲子专场免费抢票,新浪 观影 疯狂 元素 亲子 专场 免费 抢票,0
2,新浪观影团《变形金刚：超能勇士崛起》免费抢票,新浪 观影 变形金刚 勇士 崛起 免费 抢票,0
2,影迷评《蜘蛛侠：纵横宇宙》画风炫酷 制作精良,影迷 蜘蛛侠 纵横 宇宙 画风 炫酷 制作 精良,0
2,OSN高尔宣北美巡演多伦多站官宣 9月1日将开唱,高尔宣 北美 巡演 多伦多 官宣 开唱,0
2,苏打绿举办限定免费演唱会 宣布将有惊喜巡演,苏打 举办 限定 免费 演唱会 惊喜 巡演,0
2,役所广司获得戛纳影帝凯旋 出席活动获掌声,役所 广司 戛纳 影帝 凯旋 出席 活动 掌声,0
2,新浪观影团《蜘蛛侠：纵横宇宙》北京免费抢票,新浪 观影 蜘蛛侠 纵横 宇宙 北京 免费 抢票,0
2,2023郑钧全国巡回演唱会北京站5月31日预售开启,郑钧 全国 巡回演唱 北京站 预售 开启,0
2,影迷评《哆啦A梦：大雄与天空的理想乡》温暖感动,影迷 大雄 天空 理想 温暖 感动,0
2,《志愿军：雄兵出击》新浪潮论坛 还原历史细节,志愿军 雄兵 出击 新浪潮 论坛 还原 历史 细节,0
2,惊悚剧集《母狮》发布剧照 佐伊·索尔达娜主演,惊悚 剧集 母狮 发布 剧照 佐伊 索尔达 主演,0
2,《人生路不熟》上映满月 范丞丞发文分享感受,人生路不熟 上映 满月 范丞丞 发文 分享 感受,0
2,苏炳添晒照官宣得子 暖心配文“一起守护妈妈”,苏炳添 照官 宣得子 暖心 配文 守护 妈妈,0
2,真实震撼感动并存 《长空之王》累计票房破8亿,真实 震撼 感动 并存 长空 之王 累计 票房,0
2,第四届深圳声乐季公开课上线 助力中国声乐发展,深圳 声乐 公开课 上线 助力 中国 声乐 发展,2
2,电视剧《公诉》定档5月29日 迪丽热巴佟大为主演,电视剧 公诉 定档 迪丽 热巴 大为 主演,0
2,曝李仙姬与HOOK娱乐代表勾结 合力侵占公司财产,曝李仙姬 娱乐 代表 勾结 合力 侵占 公司 财产,2
2,SKE48松井玲奈将与近藤晃央结婚 在迪士尼办婚礼,松井 玲奈 近藤 晃央 结婚 迪士尼 婚礼,0
2,谢楠节目中谈吴京 称他为了拍戏最长一年半没回家,谢楠 节目 中谈 吴京 拍戏 最长 一年 回家,0
2,导演沙碧红携新片现身戛纳 影片选材真实故事,导演 沙碧红 新片 现身 戛纳 影片 选材 真实 故事,0
2,杨洋和沙溢两位军艺校草在华表奖现场互加好友,杨洋 沙溢 两位 艺校 华表奖 现场 互加 好友,0
2,张馨予发文反对虐待动物：这是可怕的蝴蝶效应,张馨予 发文 反对 虐待 动物 这是 可怕 蝴蝶效应,0
2,2023“星耀曲江”演唱会阵容公布 预售即将开启,星耀 曲江 演唱会 阵容 公布 预售 开启,0
2,刘宪华回应当初退出《向往的生活》：压力太大,刘宪华 回应 当初 退出 向往 生活 压力,0
2,《花月杀手》7年才完成 导演马丁:我的时间不多了,花月 杀手 导演 马丁 时间 不多,0
2,创造宇宙音乐节将举行 范丞丞方预付2000张门票,创造 宇宙 音乐节 范丞丞方 预付 门票,0
2,2023西班牙电影展即将在卢米埃影城开幕,西班牙 电影展 卢米 影城 开幕,0
2,新浪观影团《哆啦A梦：天空的理想乡》免费抢票,新浪 观影 天空 理想 免费 抢票,0
2,电影《最后的防线》启动仪式在京举行,电影 防线 启动 仪式 在京举行,0
2,艺术电影展·2023春华夏繁主题展映,艺术 电影展 华夏 主题 展映,0
2,刘诗诗与何超莲合照 漂亮姐姐同框赏心悦目,刘诗 何超莲 合照 漂亮 姐姐 同框 赏心悦目,0
2,杨洋上海出发 将参加华表奖典礼,杨洋 上海 出发 参加 华表奖 典礼,0
2,小鬼王琳凯生日演唱会启动 巡演首站登陆深圳,小鬼 王琳凯 生日 演唱会 启动 巡演 首站 登陆 深圳,0
2,黄渤倪妮新戏在港拍摄发生意外 伤者正在诊断治疗,黄渤 倪妮 新戏 拍摄 发生意外 伤者 诊断 治疗,0
2,影迷评《速度与激情10》：场面炸裂 刺激过瘾,影迷 速度 激情 场面 炸裂 刺激 过瘾,0
2,《十年一品温如言》丁禹兮任敏分获金扫帚奖,十年 一品 温如言 丁禹 任敏 分获 扫帚,0
2,朱一龙和日本著名导演是枝裕和在戛纳晚宴聊天,朱一龙 日本 著名 导演 枝裕 戛纳 晚宴 聊天,0
2,《隔壁泰山》陷版权纠纷 阿里郎组合发声明维权,隔壁 泰山 版权 纠纷 阿里郎 组合 发声明 维权,0
2,中国电影华表奖颁奖典礼官宣将于5月23日举行,中国 电影 华表奖 颁奖典礼 官宣,2
2,Matzka发行首张排湾语专辑 聆听来自山与海的声音,发行 首张 排湾 专辑 聆听 山与海 声音,0
2,山下智久新片《SEE HEAR LOVE》公开预告片,山下 智久 新片 公开 预告片,0
2,《极限挑战》自助旅行 体验光雾山的风土人情,极限 挑战 自助 旅行 体验 光雾 风土人情,0
2,小范宁因粉丝数不够而被大片系列拒绝,小范 宁因 粉丝 大片 系列 拒绝,0
2,电影《灌篮高手》密钥延期 延长上映至6月19日,电影 灌篮高手 密钥 延期 延长 上映,0
2,新浪观影团《速度与激情10》免费抢票,新浪 观影 速度 激情 免费 抢票,0
2,世界青年短片大赛明天线上展映直播,世界 青年 短片 大赛 明天 线上 展映 直播,0
2,韩蕴美原创歌曲入围杭州亚运会主题歌曲评选前十,韩蕴美 原创 歌曲 入围 杭州 亚运会 主题 歌曲 评选 前十,0
2,王海歌年内将卸任华鼎奖主席一职,王海歌 年内 卸任 华鼎奖 主席 一职,0
2,《来活了兄弟》发布会 陈楚生苏醒王栎鑫张远整活,来活 兄弟 发布会 陈楚生 苏醒 王栎鑫 张远 整活,0
2,日本著名演员伊势谷友介涉毒被捕后复出,日本 著名演员 伊势 谷友介 涉毒 被捕 复出,0
2,影迷评《银河护卫队3》：制作精良 搞笑逗趣,影迷 银河 护卫队 制作 精良 搞笑 逗趣,0
2,《极限挑战》走进自然呼吁保护濒危动物,极限 挑战 走进 自然 呼吁 保护 濒危动物,0
2,虚拟DJ李跳跳JumpIn首次亮相北京草莓音乐节,虚拟 跳跳 首次 亮相 北京 草莓 音乐节,0
2,艾薇与偶像合作 携手华晨宇对唱《后来的我们》,艾薇 偶像 合作 携手 华晨 对唱,0
2,韩影票房：《铃芽之旅》长红 《盗梦空间》重入榜,韩影 票房 铃芽 长红 盗梦 空间 重入,0
2,韩剧收视：《金师傅3》未播先热 《花书生》降至8,韩剧 收视 师傅 未播 先热 书生,0
2,五一档观众满意度得分83.3分 《长空之王》第一,五一 观众 满意度 得分 长空 之王 第一,0
2,国产动漫《遮天》发布主题曲MV 刘欢萧敬腾献唱,国产 动漫 遮天 发布 主题曲 刘欢 萧敬腾献,0
2,影迷评《长空之王》：真实感动 振奋人心,影迷 长空 之王 真实 感动 振奋人心,0
2,《极挑》开启烧脑模式 黄明昊极限推理绕晕贾乃亮,开启 烧脑 模式 黄明昊 极限 推理 绕晕 贾乃亮,0
2,《当燃青春》办开播启动仪式 多方见证青春的力量,当燃 青春 开播 启动 仪式 多方 见证 青春 力量,0
2,Apink四人签新经纪公司 仅郑恩地与原公司续约,四人 签新 经纪 公司 郑恩地 公司 续约,2
2,香港翻拍韩剧《社内相亲》 卢瀚霆吕爵安主演,香港 翻拍 韩剧 社内 相亲 卢瀚霆 吕爵安 主演,0
2,Apink四成员合约到期不续约 维持组合活动不解散,成员 合约 到期 续约 组合 活动 解散,0
2,校长张驰带来《带你去旅行》“续集”《旅行ing》,校长 张驰 带来 带你去 旅行 续集 旅行,0
2,《青年π计划》开播 乐坛新生代登场表达青春态度,青年 计划 开播 乐坛 新生代 登场 表达 青春 态度,0
2,山下智久主演电影《See Hear Love》公开预告片,山下 智久 主演 电影 公开 预告片,0
