类别,文本
娱乐,霉霉或将献唱《芭比》电影原声带 官方暂未确认
娱乐,许光汉回应加盟《中餐厅》：可以期待一下
娱乐,小S说自己有容貌焦虑：在餐厅吃饭会不停照镜子
娱乐,龟梨和也出演三池崇史新片《怪物樵夫》
娱乐,福建省泉州市丰泽区影视文旅产业推介会举办
娱乐,S2O电音节端午假期将在三亚首秀 出演阵容公布
娱乐,新浪观影团《疯狂元素城》亲子专场免费抢票
娱乐,新浪观影团《变形金刚：超能勇士崛起》免费抢票
娱乐,影迷评《蜘蛛侠：纵横宇宙》画风炫酷 制作精良
娱乐,OSN高尔宣北美巡演多伦多站官宣 9月1日将开唱
娱乐,苏打绿举办限定免费演唱会 宣布将有惊喜巡演
娱乐,役所广司获得戛纳影帝凯旋 出席活动获掌声
娱乐,新浪观影团《蜘蛛侠：纵横宇宙》北京免费抢票
娱乐,2023郑钧全国巡回演唱会北京站5月31日预售开启
娱乐,影迷评《哆啦A梦：大雄与天空的理想乡》温暖感动
娱乐,《志愿军：雄兵出击》新浪潮论坛 还原历史细节
娱乐,惊悚剧集《母狮》发布剧照 佐伊·索尔达娜主演
娱乐,《人生路不熟》上映满月 范丞丞发文分享感受
娱乐,苏炳添晒照官宣得子 暖心配文“一起守护妈妈”
娱乐,真实震撼感动并存 《长空之王》累计票房破8亿
娱乐,第四届深圳声乐季公开课上线 助力中国声乐发展
娱乐,电视剧《公诉》定档5月29日 迪丽热巴佟大为主演
娱乐,曝李仙姬与HOOK娱乐代表勾结 合力侵占公司财产
娱乐,SKE48松井玲奈将与近藤晃央结婚 在迪士尼办婚礼
娱乐,谢楠节目中谈吴京 称他为了拍戏最长一年半没回家
娱乐,导演沙碧红携新片现身戛纳 影片选材真实故事
娱乐,杨洋和沙溢两位军艺校草在华表奖现场互加好友
娱乐,张馨予发文反对虐待动物：这是可怕的蝴蝶效应
娱乐,2023“星耀曲江”演唱会阵容公布 预售即将开启
娱乐,刘宪华回应当初退出《向往的生活》：压力太大
娱乐,《花月杀手》7年才完成 导演马丁:我的时间不多了
娱乐,创造宇宙音乐节将举行 范丞丞方预付2000张门票
娱乐,2023西班牙电影展即将在卢米埃影城开幕
娱乐,新浪观影团《哆啦A梦：天空的理想乡》免费抢票
娱乐,电影《最后的防线》启动仪式在京举行
娱乐,艺术电影展·2023春华夏繁主题展映
娱乐,刘诗诗与何超莲合照 漂亮姐姐同框赏心悦目
娱乐,杨洋上海出发 将参加华表奖典礼
娱乐,小鬼王琳凯生日演唱会启动 巡演首站登陆深圳
娱乐,黄渤倪妮新戏在港拍摄发生意外 伤者正在诊断治疗
娱乐,影迷评《速度与激情10》：场面炸裂 刺激过瘾
娱乐,《十年一品温如言》丁禹兮任敏分获金扫帚奖
娱乐,朱一龙和日本著名导演是枝裕和在戛纳晚宴聊天
娱乐,《隔壁泰山》陷版权纠纷 阿里郎组合发声明维权
娱乐,中国电影华表奖颁奖典礼官宣将于5月23日举行
娱乐,Matzka发行首张排湾语专辑 聆听来自山与海的声音
娱乐,山下智久新片《SEE HEAR LOVE》公开预告片
娱乐,《极限挑战》自助旅行 体验光雾山的风土人情
娱乐,小范宁因粉丝数不够而被大片系列拒绝
娱乐,电影《灌篮高手》密钥延期 延长上映至6月19日
娱乐,新浪观影团《速度与激情10》免费抢票
娱乐,世界青年短片大赛明天线上展映直播
娱乐,韩蕴美原创歌曲入围杭州亚运会主题歌曲评选前十
娱乐,王海歌年内将卸任华鼎奖主席一职
娱乐,《来活了兄弟》发布会 陈楚生苏醒王栎鑫张远整活
娱乐,日本著名演员伊势谷友介涉毒被捕后复出
娱乐,影迷评《银河护卫队3》：制作精良 搞笑逗趣
娱乐,《极限挑战》走进自然呼吁保护濒危动物
娱乐,虚拟DJ李跳跳JumpIn首次亮相北京草莓音乐节
娱乐,艾薇与偶像合作 携手华晨宇对唱《后来的我们》
娱乐,韩影票房：《铃芽之旅》长红 《盗梦空间》重入榜
娱乐,韩剧收视：《金师傅3》未播先热 《花书生》降至8
娱乐,五一档观众满意度得分83.3分 《长空之王》第一
娱乐,国产动漫《遮天》发布主题曲MV 刘欢萧敬腾献唱
娱乐,影迷评《长空之王》：真实感动 振奋人心
娱乐,《极挑》开启烧脑模式 黄明昊极限推理绕晕贾乃亮
娱乐,《当燃青春》办开播启动仪式 多方见证青春的力量
娱乐,Apink四人签新经纪公司 仅郑恩地与原公司续约
娱乐,香港翻拍韩剧《社内相亲》 卢瀚霆吕爵安主演
娱乐,Apink四成员合约到期不续约 维持组合活动不解散
娱乐,校长张驰带来《带你去旅行》“续集”《旅行ing》
娱乐,《青年π计划》开播 乐坛新生代登场表达青春态度
娱乐,山下智久主演电影《See Hear Love》公开预告片
娱乐,第36届华鼎奖好莱坞开奖 世界青年短片大赛揭晓
娱乐,新浪观影团《银河护卫队3》免费观影抢票
娱乐,《四郎探母》《红楼二尤》等四部京剧电影上映
娱乐,电影《白塔之光》北影节首映 柏林后再获观众好评
娱乐,《经典咏流传正青春》发布会:以焕新姿态奋进前行
娱乐,第96届奥斯卡颁奖礼将于2024年3月11日举行
娱乐,周恩洋KILLA全新原创单曲《Here Before》发布
娱乐,日剧《宽松世代又如何》拍电影版 日本定档10月
娱乐,《极限挑战》将播 忠贞爱情故事感动“极挑团”
娱乐,影迷评《灌篮高手》：青春热血 重燃赛场
娱乐,已故英女王97岁诞辰 温馨家庭合影公布
娱乐,陈凯歌新片《志愿军》定档国庆 影片仍在拍摄中
娱乐,KAKA李奕可参与制作檀健次新歌 4月20日上线
娱乐,电影《长安三万里》定档暑期 聚焦高适李白的故事
娱乐,陈昊姝新歌《Smell》上线 描绘少女的初恋心情
娱乐,梦然最新情歌单曲《不想天黑》发布
娱乐,新浪观影团《长空之王》五一假期免费抢票
娱乐,全球智媒体大会澳门峰会 张卫谭飞阿郎等嘉宾出席
娱乐,王宝强导演电影《八角笼中》定档7月6日全国上映
娱乐,柯南剧场版《黑铁的鱼影》票房破纪录 有望超百亿
娱乐,电影《白色闪电》开机 青春因你而献上
娱乐,王丹妮因金像奖现场没认出“枢”字道歉
娱乐,陈奕迅全新巡演香港27场开唱 打造全新主题
娱乐,《咒怨》导演新片曝海报 日本定档8月11日
娱乐,荒井晴彦新片《花腐》海报公开 预计今年冬季上映
娱乐,看电影主编阿郎：电影创作者要平等看待青年观众
娱乐,《极限挑战》第九季开播 首期上演全员入睡名场面
娱乐,《斯文江南2》开播：岳云鹏“超时空对话”陶渊明
娱乐,这就是街舞制作方灿星文化成被执行人
娱乐,新浪观影团《灌篮高手》粉丝专场免费抢票
娱乐,胡枫获第41届香港电影金像奖“终身成就奖”
娱乐,世界电影节主席论坛举行 文隽对香港电影充满信心
娱乐,中森明菜演唱会推出4K版电影 4月28日日本上映
娱乐,王力宏演唱会将于6月10日在曼谷举行
娱乐,世界电影产业大会落幕 历时近七个月举办16场活动
娱乐,Ella回应网传《乘风2023》初舞台第一：看看就好
娱乐,悬疑片《走到尽头》曝预告 冈田准一绫野刚合作
娱乐,冯小刚说自己拍不了甜宠剧 只能驾驭现实主义
娱乐,《极限挑战9》阵容官宣 诠释一往无前的向上精神
娱乐,王海歌获美国国会议员刘云平表彰
娱乐,《无间》《薄冰》热播 谍战剧依然被青睐
娱乐,赵阳：《他是谁》聂宝华就是“宠妹狂魔”
娱乐,《了不起!舞社2》定档 总导演谈多元化主理人选择
娱乐,王海歌获第36届华鼎奖杰出成就奖
娱乐,乡村生活综艺：打造现代人的“武陵源”
娱乐,影迷评《超级马力欧兄弟大电影》：色彩艳丽
娱乐,历“9”弥新，一往无前！《极限挑战》第九季官宣
娱乐,《模仿犯》成绩优异 吴慷仁发文感谢工作人员
娱乐,安俊英出狱后再入职Mnet引争议 CJENM发声明道歉
娱乐,两大香港艺团联袂呈献大型舞剧《布兰诗歌》
娱乐,杨紫琼好莱坞再获第36届华鼎奖全球影后
娱乐,澳涞坞五大洲电影节金莉花奖揭晓 《妈妈！》获奖
娱乐,乡村生活综艺：描绘乡村振兴美好蓝图
娱乐,是枝裕和阪元裕二《怪物》公开海报和部分剧情
娱乐,容祖儿Eternity演唱会澳门开唱 打造全新舞台
娱乐,新浪观影团《超级马力欧兄弟大电影》3D抢票
娱乐,北京卢米埃影城2023年意大利影像展即将开幕
娱乐,影迷评《忠犬八公》：温暖治愈 催泪感人
娱乐,新安江音乐节官宣启动 两场阵容公布
娱乐,合家欢动画《大旅行》发萌兽联盟版角色海报
娱乐,《新生万物》收官 杨澜称下季将拥抱更多国际视野
娱乐,《水流向大海》公开主演广濑铃大西利空等人剧照
娱乐,《喜欢你我也是4》举办看片会 现场嗑糖氛围爆棚
娱乐,比尔·麦克尼柯担任第36届华鼎奖评委会主席
娱乐,王海歌当选澳涞坞五大洲电影节评委会主席
娱乐,中国电影资料馆安溪数字资源中心启动
娱乐,影迷评《不止不休》：演技在线 发人深省
娱乐,影迷评《龙与地下城：侠盗荣耀》：诙谐幽默
娱乐,乡村振兴纪录电影《加油吧！乡亲们》定档520
娱乐,高桥一生《岸边露伴一动不动》巴黎拍摄 首曝预告
娱乐,王鹤棣拉刘耀文手打招呼 篮球小老铁互动可爱
娱乐,《灌篮高手》发布赤木刚宪角色海报 4月20日上映
娱乐,TVB计划裁员5% 未达预期节目将被终止
娱乐,《声生不息宝岛季》以乐会友，全民共唱华流金曲
娱乐,新浪观影团《忠犬八公》首映观影免费抢票
娱乐,夏奇拉前任皮克回应出轨：只想忠于自己的内心
娱乐,华晨宇火星演唱会加场 杭州成都双城四场门票售罄
娱乐,黎明澳门演唱会5月开唱14场 将设计全新演出内容
娱乐,影迷评《雷霆沙赞！众神之怒》：轻松解压
娱乐,《虽然没准备什么菜》回归 将于4月7日公开第2季
娱乐,萨日娜：真诚是最好的表演
娱乐,抗美援朝题材电视剧《侦察英雄》开机
娱乐,《毛雪汪》定档320 郭麒麟做客上演限定小剧场
娱乐,新浪观影团《龙与地下城：侠盗荣耀》免费抢票
娱乐,真木阳子时隔五年主演电影《暗流》
娱乐,动画《大旅行》定档4月8日 萌兽送熊猫宝宝回家
娱乐,新浪观影团《不止不休》超前观影免费抢票
娱乐,《哈哈哈哈哈》第三季正在热播 助力地方文旅发展
娱乐,影迷评《保你平安》：笑点不断 温暖治愈
娱乐,《种地吧》回归真诚 扎根土地关注农耕问题
娱乐,第36届华鼎奖颁布新规则
娱乐,《五哈3》首播 五哈团开启“天坑”东北行
娱乐,新浪观影团《保你平安》首映免费抢票
娱乐,新浪观影团《雷霆沙赞！众神之怒》免费抢票
